Player Name,Wiki Title,Height,Spike,Block,Position
Abdel-Aziz Nimir,Nimir Abdel-Aziz,201,360,340,Opposite
Čebulj Klemen,Klemen Čebulj,202,367,345,Outside
Mikhaylov Maxim,Maxim Mikhaylov (volleyball),202,360,340,Opposite
Ivovic Marko,Marko Ivović,194,365,330,Outside
Štern Tonček,Tonček Štern,200,358,340,Opposite
Michieletto Alessandro,Alessandro Michieletto,211,357,321,Outside
Kazemi Saber,Saber Kazemi,205,340,325,Opposite
Ishikawa Yuki,Yūki Ishikawa,192,351,327,Outside
De Souza Wallace,Wallace de Souza,198,360,340,Opposite
Leal Hidalgo Yoandy,Yoandy Leal,201,371,340,Outside
Urnaut Tine,Tine Urnaut,200,365,345,Outside
Souza Ricardo Lucarelli,Ricardo Lucarelli,196,355,340,Outside
Weber Linus,Linus Weber,201,360,335,Opposite
Kliuka Egor,Egor Kliuka,209,370,350,Outside
Krsmanovic Petar,Petar Krsmanović,205,354,349,Middle
Defalco Torey,Torey DeFalco,198,340,328,Outside
Pereyra Federico,Federico Pereyra
Patry Jean,Jean Patry,207,357,334,Opposite
Podrascanin Marko,Marko Podraščanin,204,358,340,Middle
Pajenk Alen,Alen Pajenk,203,357,330,Middle
Ngapeth Earvin,Earvin N'Gapeth,194,358,327,Outside
Recine Francesco,Francesco Recine,185
Smith Luke,Luke Smith (volleyball),204,360,340
Vernon-Evans Sharone,Sharone Vernon-Evans,206,374,347,Opposite
Atanasijevic Aleksandar,Aleksandar Atanasijević,202,360,338,Opposite
Perrin John Gordon,John Gordon Perrin,201,358,326,Outside
Boyer Stephen,Stéphen Boyer,196,355,334,Opposite
Leon Venero Wilfredo,Wilfredo León,202,370,346,Outside
Nelli Gabriele,Gabriele Nelli,210,355,320,Opposite
Hoag Nicholas,Nicholas Hoag,200,350,nan,Outside
Correia De Souza Douglas,Douglas Souza,199,338,317,Outside
Takahashi Ran,Ran Takahashi,188,343,315,Wing
Krick Tobias,Tobias Krick,213,360,340,Middle
Volkov Dmitry,Dmitry Volkov (volleyball),201,351,338,Outside
Kurek Bartosz,Bartosz Kurek,205,370,340,Outside
Conte Facundo,Facundo Conte,197,355,324,Outside
Chinenyeze Barthélémy,Barthélémy Chinenyeze,202,357,332,Middle
Shimizu Kunihiro,Kunihiro Shimizu,193,348,330,Opposite[1]
Tillie Kevin,Kévin Tillie,nan,nan,nan,Outside
Ter Horst Thijs,Thijs ter Horst,204,364,344,Outside
Bieniek Mateusz,Mateusz Bieniek,208,351,329,Middle
Pinali Giulio,Giulio Pinali,198
Mousavi Eraghi Seyed Mohammad,Mohammad Mousavi (volleyball),203,362,nan,Middle
Graham Beau,Beau Graham,202,351,332,middle
Volvich Artem,Artem Volvich,212,352,339,Middle
Kozamernik Jan,Jan Kozamernik,205,358,336,Middle
Parapunov Radoslav,Radoslav
Sclater Ryan Joseph,Ryan Sclater,201,347,320,Opposite
Souza Alan,Alan Souza,202,336,320,Opposite
Mote Nehemiah,Nehemiah Mote,204,362,354,Middle
Muagututia Garrett,Garrett Muagututia,195,359,nan,Outside
Reichert Moritz,Moritz Reichert,195,345,325,Outside
Bottolo Mattia,Mattia Bottolo,196
Ensing Kyle,Kyle Ensing,201,366,353,Opposite
Kubiak Michal,Michał Kubiak,192,347,320,Outside
Kurkaev Ilyas,Ilyas Kurkaev,208,355,335,Middle
Le Goff Nicolas,Nicolas Le Goff,206,365,345,Middle
Lima Bruno,Bruno Lima,198,341,320,Opposite
Sokolov Tsvetan,Tsvetan Sokolov,206,357,338,Opposite
Vlasov Ilia,Ilia Vlasov,212,355,345,Middle
